t RuBP PGA DPGA T3P FBP E4P S7P SBP ATP NADPH CO2 O2 HexP PenP GCEA GCA PGCA GCAc GOAc SERc GLYc HPRc GCEAc T3Pc FBPc HexPc F26BPc ATPc ADPc OPOPc UDPGc UTPc SUCP SUC PGAc 
0.11989 1.9854 1.9519 0.28201 0.8579 0.56312 0.20704 1.9716 0.1846 0.28842 0.21 0.012 0.264 2.2237 0.34297 0.15144 0.34863 0.00066123 0.27103 0.047279 7.4785 1.8552 0.0094384 0.20243 2.3184 1.9927 5.8014 0.0010948 0.35 0.65 0 0.5742 0.75 0.00032119 3.0898e-05 0.017145  
0.13022 1.9839 1.9349 0.28314 0.88159 0.55411 0.21448 1.9685 0.18141 0.27855 0.21 0.012 0.264 2.2252 0.35245 0.15149 0.34524 0.00066308 0.266 0.047542 7.4763 1.8609 0.0095193 0.20385 2.3202 1.9921 5.8014 0.0011878 0.35 0.65 0 0.57456 0.75 0.00034631 3.622e-05 0.018268  
0.14055 1.9825 1.9194 0.28288 0.9047 0.54513 0.22151 1.9654 0.17869 0.27008 0.21 0.012 0.264 2.2266 0.36193 0.15172 0.3417 0.00066488 0.26119 0.047722 7.4741 1.8666 0.0095781 0.2052 2.322 1.9915 5.8015 0.0012806 0.35 0.65 0 0.57493 0.75 0.00037107 4.1926e-05 0.019357  
0.15087 1.9812 1.9049 0.28142 0.92731 0.53618 0.22817 1.9622 0.17641 0.2628 0.21 0.012 0.264 2.228 0.37138 0.1521 0.33803 0.00066666 0.25658 0.047831 7.4719 1.8723 0.0096185 0.20649 2.3237 1.9909 5.8016 0.0013733 0.35 0.65 0 0.57529 0.75 0.00039546 4.8009e-05 0.020415  
0.16769 1.9792 1.8836 0.27693 0.96316 0.52169 0.23833 1.957 0.17349 0.25299 0.21 0.012 0.264 2.2301 0.38666 0.15298 0.33181 0.00066949 0.24942 0.047887 7.4683 1.8815 0.0096527 0.20847 2.3267 1.99 5.8018 0.001524 0.35 0.65 0 0.57588 0.75 0.0004344 5.8703e-05 0.022073  
0.18451 1.9774 1.8645 0.2703 0.99796 0.5073 0.24775 1.9517 0.17143 0.24516 0.21 0.012 0.264 2.232 0.40174 0.15411 0.32538 0.00067228 0.24263 0.047825 7.4648 1.8907 0.0096565 0.21034 2.3297 1.989 5.8019 0.0016744 0.35 0.65 0 0.57648 0.75 0.00047241 7.0344e-05 0.023659  
0.20133 1.9758 1.8471 0.26197 1.0318 0.493 0.25654 1.9465 0.17011 0.23885 0.21 0.012 0.264 2.2338 0.41656 0.15543 0.31879 0.00067502 0.23614 0.047673 7.4614 1.8998 0.0096373 0.21209 2.3327 1.9881 5.802 0.0018246 0.35 0.65 0 0.57707 0.75 0.00050952 8.2902e-05 0.02518  
0.21814 1.9745 1.8313 0.25227 1.0649 0.47882 0.26478 1.9413 0.16942 0.23369 0.21 0.012 0.264 2.2354 0.43109 0.15687 0.3121 0.00067772 0.2299 0.047452 7.4579 1.9088 0.009601 0.21374 2.3358 1.9871 5.8021 0.0019744 0.35 0.65 0 0.57766 0.75 0.00054574 9.6347e-05 0.02664  
0.23496 1.9735 1.8167 0.24144 1.0972 0.46474 0.27256 1.9362 0.16929 0.22941 0.21 0.012 0.264 2.2369 0.44529 0.1584 0.30535 0.0006804 0.22387 0.047179 7.4546 1.9176 0.0095517 0.21531 2.3389 1.9862 5.8022 0.002124 0.35 0.65 0 0.57826 0.75 0.0005811 0.00011065 0.028044  
0.25178 1.9728 1.8032 0.2297 1.1288 0.45078 0.27993 1.9311 0.16964 0.2258 0.21 0.012 0.264 2.2382 0.45916 0.15999 0.29858 0.00068306 0.21802 0.046864 7.4513 1.9264 0.0094926 0.21679 2.3421 1.9853 5.8023 0.0022733 0.35 0.65 0 0.57885 0.75 0.00061562 0.00012578 0.029395  
0.27419 1.9722 1.7866 0.21289 1.17 0.43236 0.28919 1.9243 0.17076 0.22177 0.21 0.012 0.264 2.2398 0.47711 0.16215 0.28955 0.00068657 0.21045 0.046397 7.447 1.9378 0.0094025 0.21866 2.3463 1.9841 5.8024 0.0024717 0.35 0.65 0 0.57964 0.75 0.00066036 0.00014718 0.031121  
0.2966 1.9721 1.7715 0.19499 1.2102 0.41417 0.2979 1.9177 0.17252 0.2184 0.21 0.012 0.264 2.2411 0.49443 0.16433 0.28056 0.00069004 0.20311 0.045886 7.4429 1.9489 0.0093026 0.22042 2.3506 1.9829 5.8024 0.0026697 0.35 0.65 0 0.58044 0.75 0.00070371 0.00016994 0.032766  
0.31901 1.9724 1.7576 0.17622 1.2494 0.39622 0.30613 1.9112 0.17483 0.21553 0.21 0.012 0.264 2.2422 0.51114 0.16649 0.27166 0.00069348 0.19597 0.04534 7.4389 1.9598 0.0091955 0.22207 2.355 1.9817 5.8025 0.0028671 0.35 0.65 0 0.58123 0.75 0.00074571 0.000194 0.034337  
